sku,caseW,bboxH,cxRatio,cyRatio,canvas,color_mode,extra_chunks,metric_warnings,pass_geometry,pass_content,human_classification,needs_rerender,notes,remediation_status,post_remediation_needs_rerender,post_caseW,post_bboxH,post_cxRatio,post_cyRatio,post_canvas,post_color_mode,post_metric_warnings,post_visual_review,post_sha256
W1280,0.964664,0.983333,0.498233,0.500556,283x900,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",rerendered-and-approved,False,0.780273,0.911458,0.500000,0.500000,1024x1536,RGBA,,PASS,0242a7ff890eaaa2617fccd3a57b95bec47f37dd6ecf3ac55e3cfc494fd21318
WWNL8.111.4.87.6,0.670898,0.90625,0.499512,0.5,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.670898,0.90625,0.499512,0.5,1024x1536,RGBA,caseW-low,acceptable variation,ae0579dc7e7b6617a6104a9a842ff3d21837dc324f1bb2df923b2586ecacc1e5
WL26,0.590193,0.933,0.531524,0.5035,571x1000,RGBA,,canvas|caseW-low|case-centre-x,False,True,acceptable variation,False,"canvas,caseW-low,case-centre-x; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.590193,0.933,0.531524,0.5035,571x1000,RGBA,canvas|caseW-low|case-centre-x,acceptable variation,622e26759c2b5499e8331286ea3c30fe7e34fdac8296148bec5a554a927ca5c6
W1521,0.744141,0.940104,0.519531,0.494792,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from legacy catalog black-background review; pending v2 candidate recheck,unchanged-protected,False,0.744141,0.940104,0.519531,0.494792,1024x1536,RGBA,,approved,c29a3c17964778c7a57adb5d33f7b84966463ef8a01b4b911817b75f2df8b57f
WWNT149.459.21.051.00,0.772461,0.907552,0.499512,0.5,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.772461,0.907552,0.499512,0.5,1024x1536,RGBA,,approved,5d0e0f8346aa7651d4cb93cc650c483010955464a9d0a08bc8cc113b1af9b375
WWNL4.911.4.77.6,0.797852,0.90625,0.500488,0.5,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.797852,0.90625,0.500488,0.5,1024x1536,RGBA,,approved,9aa5c1f788490c01bc587264673bb5c8975496a0c80753c554d8be2cabd2953e
W1347,0.911647,0.982222,0.467871,0.5,249x900,RGBA,,canvas|caseW-high|bboxH-high|case-centre-x,False,True,acceptable variation,False,"canvas,caseW-high,bboxH-high,case-centre-x; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.911647,0.982222,0.467871,0.5,249x900,RGBA,canvas|caseW-high|bboxH-high|case-centre-x,acceptable variation,e2a722b40e59f04d4b296eb83eb8a892c14f6bbc757da9e8e35cf6d33d521023
W1343,0.603516,0.930339,0.520508,0.49707,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from legacy catalog black-background review,unchanged-protected,False,0.603516,0.930339,0.520508,0.49707,1024x1536,RGBA,caseW-low,acceptable variation,c2f9255e9402fbe9b2727e98fc8f2d7b48ed7a45938a12ecebe8724b0a20fdae
W2218,0.614258,0.964844,0.464355,0.492839,1024x1536,RGBA,,caseW-low|bboxH-high|case-centre-x,False,True,acceptable variation,False,"caseW-low,bboxH-high,case-centre-x; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.614258,0.964844,0.464355,0.492839,1024x1536,RGBA,caseW-low|bboxH-high|case-centre-x,acceptable variation,b391da7699df91b7936e5410b7db38cbfe26839a7b4cdd9c272765d47b6a2fe4
W1312,0.953125,0.995556,0.5,0.502222,320x900,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",rerendered-and-approved,False,0.780273,0.911458,0.499512,0.500000,1024x1536,RGBA,,PASS,b134e262f75d9d6cdf860204c71184bb189e3c8131a9f366842019b00bd47512
WL31,0.577933,0.934,0.518389,0.504,571x1000,RGBA,,canvas|caseW-low,False,False,true failure,True,"canvas,caseW-low; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",rerendered-and-approved,False,0.780273,0.911458,0.500488,0.500000,1024x1536,RGBA,,PASS,7239d2c55b1ce454cf4fc430df24680ee5668cc0bb1a7a321f4530a48425e077
W2193,0.77832,0.926432,0.53125,0.500326,1024x1536,RGBA,,case-centre-x,False,True,acceptable variation,False,case-centre-x; PASS_CONTENT from legacy catalog black-background review,unchanged-protected,False,0.77832,0.926432,0.53125,0.500326,1024x1536,RGBA,case-centre-x,acceptable variation,bde5448314c659a0b91e40dac8d743754a2c5d2fc969759b14d46144eeb0bcd9
WL30,0.28418,0.897135,0.502441,0.484375,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from legacy catalog black-background review,unchanged-protected,False,0.28418,0.897135,0.502441,0.484375,1024x1536,RGBA,caseW-low,acceptable variation,917432fa2556eea36bb5b777013504efafeede287a46b0e933e3d0ea2c6f647a
WWNR12162153,0.714844,0.909505,0.5,0.500977,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.714844,0.909505,0.5,0.500977,1024x1536,RGBA,caseW-low,acceptable variation,a39f83e39ef7f1ff6aab5408f94494de1f8975b9d0075ae9551db41053f9c1d1
WWNMWW06D000171,0.515625,0.907552,0.5,0.5,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.515625,0.907552,0.5,0.5,1024x1536,RGBA,caseW-low,acceptable variation,af22405279c9845d29bd6808bd5a92f198fe61e67de2de285f561ec7cebadd7f
WWNMWW21H000001,0.657227,0.90625,0.500488,0.5,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.657227,0.90625,0.500488,0.5,1024x1536,RGBA,caseW-low,acceptable variation,78683a1e53dd9a2dd789ebb38b5946dd67bef516b06ff8a1360fc1e63fc81ce8
W246,0.892272,0.938281,0.501756,0.498047,854x1280,RGBA,,canvas|caseW-high,False,False,true failure,True,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with full looped leather strap",rerendered-and-approved,False,0.780273,0.911458,0.500488,0.500000,1024x1536,RGBA,,PASS,a0f1653711ee29884b119c1a553eb3abbc1f6c46125af7c3d25b7f6d8a916cfa
W1534,0.989224,0.986667,0.503233,0.498889,464x900,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",rerendered-and-approved,False,0.780273,0.911458,0.500488,0.500000,1024x1536,RGBA,,PASS,fe1c3a887e344b3c7665c44ff7d64f1041a08393da822420c5abab3e5ae1d8db
W1462,0.567383,0.886719,0.52002,0.488932,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from legacy catalog black-background review,unchanged-protected,False,0.567383,0.886719,0.52002,0.488932,1024x1536,RGBA,caseW-low,acceptable variation,a22e60d64da91de315e7b0d4e4b70c581a1394c6eed4822371c2c3fb0be54848
CRXS.3101.H,0.808594,0.906901,0.5,0.500326,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.808594,0.906901,0.5,0.500326,1024x1536,RGBA,,approved,f9944232f56dfa69ddc13a4f81e687762459166b631e7d26b9aab14b5325d706
WWNMWW06A000780,0.729492,0.908854,0.499512,0.501302,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.729492,0.908854,0.499512,0.501302,1024x1536,RGBA,caseW-low,acceptable variation,8174400724564523fff259a5ffa9f94a47ef480c06c922123982710e4acb50be
W212,0.700195,0.922526,0.52832,0.496419,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from legacy catalog black-background review,unchanged-protected,False,0.700195,0.922526,0.52832,0.496419,1024x1536,RGBA,caseW-low,acceptable variation,042a69c7e5b131c6441c9a89a483eca309e69e9c9d7468edb8b0c828847fd32d
WL50,0.728546,1.0,0.496497,0.5,571x1000,RGBA,,canvas|caseW-low|bboxH-high,False,False,true failure,True,"canvas,caseW-low,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",rerendered-and-approved,False,0.781250,0.911458,0.500000,0.500000,1024x1536,RGBA,,PASS,401962e71803589f8246b15f440e3bcde1cd63e36d6dd539b61c91cedd271d5e
W213,0.762695,0.957682,0.505371,0.496419,1024x1536,RGBA,,bboxH-high,False,True,acceptable variation,False,bboxH-high; PASS_CONTENT from legacy catalog black-background review,unchanged-protected,False,0.762695,0.957682,0.505371,0.496419,1024x1536,RGBA,bboxH-high,acceptable variation,c21f89806e03f81814e1c46ef63208e59c4e16626dba29c970a28b336c25e65c
W1711,0.657227,0.919922,0.515137,0.488607,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from legacy catalog black-background review,unchanged-protected,False,0.657227,0.919922,0.515137,0.488607,1024x1536,RGBA,caseW-low,acceptable variation,6a53885ab3176c04e39d792976941824a56f20359388235db8ebc8923686a494
W1543,0.975207,1.0,0.498623,0.5,363x900,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",rerendered-and-approved,False,0.781250,0.911458,0.500000,0.500000,1024x1536,RGBA,,PASS,c85df97a94e528bd11a3d069888be44054c20fb3af3bb944f5397cab631f12d3
WL49,0.628906,0.965495,0.509766,0.502279,1024x1536,RGBA,,caseW-low|bboxH-high,False,True,acceptable variation,False,"caseW-low,bboxH-high; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.628906,0.965495,0.509766,0.502279,1024x1536,RGBA,caseW-low|bboxH-high,acceptable variation,0c803381c7c0d0ddfc3c10d98bfd463496d5fb4e44e883ab76a1505f0ff8a8a1
WWN10473,0.460938,0.907552,0.5,0.5,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.460938,0.907552,0.5,0.5,1024x1536,RGBA,caseW-low,acceptable variation,0096493f7b21998c5e85bc23cbfc1e2874ce92cc60fd51d404b3b4776961a71e
W1700,0.823242,0.957031,0.513184,0.496094,1024x1536,RGBA,,bboxH-high,False,True,acceptable variation,False,bboxH-high; PASS_CONTENT from legacy catalog black-background review,unchanged-protected,False,0.823242,0.957031,0.513184,0.496094,1024x1536,RGBA,bboxH-high,acceptable variation,7d9735b9844114b15c4389b7feb19923755413343aa7f023a275b7adfdf817c7
CRT930.007.46.261.00,0.765625,0.907552,0.5,0.5,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.765625,0.907552,0.5,0.5,1024x1536,RGBA,,approved,744358579591c9fc78372ec076a09cc483bfac4079ef7e3ba0a3cc89cc830cf0
W239,0.916553,0.983594,0.499316,0.501953,731x1280,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",rerendered-and-approved,False,0.780273,0.899740,0.499512,0.500000,1024x1536,RGBA,,PASS,604ba98188084129e694e9d77d06ed89ad56e195e068f9e327672b8846ceb241
W1294,0.913725,1.0,0.505882,0.5,510x900,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strap appears severely distorted",rerendered-and-approved,False,0.779297,0.911458,0.500000,0.500000,1024x1536,RGBA,,PASS,643aa3dbc1d3d52c74b4dc3c6f9de061cc5110211e78a2cbac5c65408a3d9abf
W1395,0.983133,1.0,0.501205,0.5,415x900,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",rerendered-and-approved,False,0.780273,0.911458,0.500488,0.500000,1024x1536,RGBA,,PASS,b9b295fc39f8024e2c9a877c8d64b6bfb777885ac5c2a790f2e621fb09eb4aff
WW184,0.912434,0.934,0.499124,0.5,571x1000,RGBA,,canvas|caseW-high,False,False,true failure,True,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",rerendered-and-approved,False,0.780273,0.899740,0.500488,0.500000,1024x1536,RGBA,,PASS,99e5c1818a9180e8a11c149854c04f929dee62f055d35f7c57f6de03e846a379
W2182,0.708984,0.921875,0.514648,0.496094,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from legacy catalog black-background review,unchanged-protected,False,0.708984,0.921875,0.514648,0.496094,1024x1536,RGBA,caseW-low,acceptable variation,8a08f8c15f0798d7d5d26de3cea16ff9cc5353af5a737a168765fe32b1ecf136
W2160,0.535156,0.874349,0.510742,0.480143,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from legacy catalog black-background review,unchanged-protected,False,0.535156,0.874349,0.510742,0.480143,1024x1536,RGBA,caseW-low,acceptable variation,260deb5300de69fae65766c5a463d8358c8ff09bd2dca90c028e2aaebab06836
W1378,0.972222,1.0,0.501543,0.5,324x900,RGBA,,canvas|caseW-high|bboxH-high,False,True,acceptable variation,False,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.972222,1.0,0.501543,0.5,324x900,RGBA,canvas|caseW-high|bboxH-high,acceptable variation,23eaa8496f141351fdcdf2fd857f6456b11c0b23f634631948d2db9e88378575
WW488,0.980676,0.986,0.502415,0.5,414x1000,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",rerendered-and-approved,False,0.779297,0.911458,0.500000,0.500000,1024x1536,RGBA,,PASS,e5475f174fad1429f5395fd0ea23ab45aaf71727b9d7aac2209039fab29879ea
W1263,0.983908,1.0,0.498851,0.5,435x900,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",rerendered-and-approved,False,0.781250,0.911458,0.500000,0.500000,1024x1536,RGBA,,PASS,13c6b32465b018dff63deb49e67ac9069ee2014c3762869e3288fc29626249ab
W1322,0.664062,0.925781,0.516602,0.477214,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from legacy catalog black-background review,unchanged-protected,False,0.664062,0.925781,0.516602,0.477214,1024x1536,RGBA,caseW-low,acceptable variation,b6ba40fdfdcff116a69492f10f5ccbc7d85c41331eef2547f47aec1ec1a2f8b2
WWN01 733 7766 4157-07 8 22 05PEB,0.805664,0.907552,0.499512,0.5,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.805664,0.907552,0.499512,0.5,1024x1536,RGBA,,approved,a336659e2f2c8b16c395f63365c41e5a89e711c3b8dab6fe0b8a7ba1a5752d3e
WWN01 733 7730 4135-07 8 24 05PEB,0.749023,0.906901,0.499512,0.499674,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.749023,0.906901,0.499512,0.499674,1024x1536,RGBA,,approved,b45367de7db125acab6efdcc93e90873e06d0c19f1fad971a28d8dac0ea9e649
WWNH32506730,0.785156,0.906901,0.5,0.500326,1024x1536,RGBA,,,True,False,true failure,True,FAIL_CONTENT: case is not dead-on; visible three-quarter perspective; human full-resolution review: watch shown around a display cushion/support,rerendered-and-approved,False,0.779297,0.856771,0.500000,0.500000,1024x1536,RGBA,,PASS,d275fa17a44a86c421259fb362ed5652f622a567f920c4d32e1fdb34760322c5
CR862.10.351.10,0.698242,0.90625,0.499512,0.5,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.698242,0.90625,0.499512,0.5,1024x1536,RGBA,caseW-low,acceptable variation,e92b09b5ad20a0bcb75dc9f9dbe2c9c9ec6a40c2d5af502c8204e6a0c45c2dd0
WWN01 733 7730 4157-07 8 24 05PEB,0.78418,0.907552,0.499512,0.5,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.78418,0.907552,0.499512,0.5,1024x1536,RGBA,,approved,631a28596e621e9076aece4bb82f6c60cf0015da5cad0fcedd463eeebee0ad0c
CRXS.0921,0.854492,0.90625,0.499512,0.5,1024x1536,RGBA,,caseW-high,False,True,acceptable variation,False,caseW-high; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.854492,0.90625,0.499512,0.5,1024x1536,RGBA,caseW-high,acceptable variation,8a152bb5df746da8f6912ae0c664acee194d5f846fb5caa08ea0fc028cdc396e
WWNR30039712,0.664062,0.907552,0.5,0.5,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.664062,0.907552,0.5,0.5,1024x1536,RGBA,caseW-low,acceptable variation,7950ff33ff046f73720116dd1f3a91b0ac7b34858bfebbc13a62f371ac693d95
WWNR12171653,0.641602,0.906901,0.499512,0.500326,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.641602,0.906901,0.499512,0.500326,1024x1536,RGBA,caseW-low,acceptable variation,63fe38cb7b9342d7a3cdde1ae2e41caed55020c9ac94c9bb25144926195c3c74
CRH82555150,0.806641,0.907552,0.5,0.5,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.806641,0.907552,0.5,0.5,1024x1536,RGBA,,approved,2d5014bfaa560e9aed437882d3817f0dbc6068ad89dfe8834d966c3aea05617c
WW725,0.977316,0.812965,0.499055,0.593518,529x941,RGBA,,canvas|caseW-high|bboxH-low|case-centre-y,False,False,true failure,True,"canvas,caseW-high,bboxH-low,case-centre-y; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",rerendered-and-approved,False,0.779297,0.867188,0.500000,0.500000,1024x1536,RGBA,,PASS,43515972138941f9f8b74ce9db748090e35ae09b668c82145fc7e81d80248c86
W231,0.987741,0.979,0.499124,0.5005,571x1000,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with full looped strap",rerendered-and-approved,False,0.780273,0.861979,0.499512,0.500000,1024x1536,RGBA,,PASS,14f5d6dfdfc29a1ecac2db43145c64a272f408ac77b747396a45242d4ece432c
W1364,0.943026,1.0,0.481336,0.5,509x900,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with full looped strap",rerendered-and-approved,False,0.780273,0.911458,0.499512,0.500000,1024x1536,RGBA,,PASS,285460c278ce39eaeb9e26668330fb738c0649436fec8bd40e929329bd862300
W1346,0.985656,1.0,0.501025,0.5,488x900,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",rerendered-and-approved,False,0.780273,0.911458,0.499512,0.500000,1024x1536,RGBA,,PASS,0272d2247ab65ae5c7b7b063de991769979fc54c3a07312ae82793cfde1c8420
WL90,0.891419,0.973,0.5,0.5035,571x1000,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",rerendered-and-approved,False,0.780273,0.911458,0.499512,0.500000,1024x1536,RGBA,,PASS,238c1ba5bc26014dd3c0a6438bc90b819354f5f32cb241036aaca7e5b266f23a
WWNWAZ1110.FT8023,0.742188,0.90625,0.5,0.5,1024x1536,RGBA,,,True,True,acceptable variation,False,FAIL_CONTENT: strap perforations are visible in the catalog crop; human full-resolution review accepted current image; metric warnings only,unchanged-protected,False,0.742188,0.90625,0.5,0.5,1024x1536,RGBA,,acceptable variation,20e63537a0a8894e4a12ef53306f2f39c548e781f58ec898a3573807a761486c
WL80,0.926129,0.979688,0.501368,0.501563,731x1280,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",rerendered-and-approved,False,0.779297,0.910156,0.500000,0.500000,1024x1536,RGBA,,PASS,885a2251ab09432e490f1c0a4855a339fbad825c76a76e1ba433a551032d7daa
CRRE-AU0502S,0.764648,0.907552,0.499512,0.5,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.764648,0.907552,0.499512,0.5,1024x1536,RGBA,,approved,5f98658b1c6e89f47bb485473319e6ef28838556d2fea3ff6759c7670ab5bb1e
WWN01 733 7707 4053-07 5 20 89,0.853516,0.906901,0.499023,0.500326,1024x1536,RGBA,,caseW-high,False,True,acceptable variation,False,caseW-high; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.853516,0.906901,0.499023,0.500326,1024x1536,RGBA,caseW-high,acceptable variation,b87f7778782cae42e98942eeb45a50f55bbf8f027639522f83275c482a62e4af
WWNL3.374.4.30.2,0.702148,0.907552,0.499512,0.5,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.702148,0.907552,0.499512,0.5,1024x1536,RGBA,caseW-low,acceptable variation,a777fb8c8f6e6017706ed6ea03fcb5653da2bc78dbd81ab4b69f3b1d1880eaeb
WWNL2.708.4.78.3,0.740234,0.906901,0.5,0.500326,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.740234,0.906901,0.5,0.500326,1024x1536,RGBA,,approved,fb432998a2b54c2761cc4e02ff9ff711ec8da70aba7c59a698ac2d48901c8352
WWN8070,0.623047,0.907552,0.5,0.5,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.623047,0.907552,0.5,0.5,1024x1536,RGBA,caseW-low,acceptable variation,d228c8f8d406c51477edeecccebf0f109d06c114752f4d16829787c0eabc90d3
WWN10613,0.761719,0.907552,0.5,0.5,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.761719,0.907552,0.5,0.5,1024x1536,RGBA,,approved,c5f6b1c3c01ce4c1f3e46d8af6bb1f450df4fae4468e1000d12f649e2ba95b4f
WWNL2.142.4.60.6,0.643555,0.907552,0.499512,0.5,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.643555,0.907552,0.499512,0.5,1024x1536,RGBA,caseW-low,acceptable variation,8d963c2493fb006f910ac0aa038f4125f11b152dd8ac58a12cca1bb4a6b7af55
WWNL4.512.2.37.8,0.603516,0.90625,0.499023,0.5,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.603516,0.90625,0.499023,0.5,1024x1536,RGBA,caseW-low,acceptable variation,8574e202f5e737f3f3839221472b845b001f25601748e3bf5af8101cd710f16b
WL83,0.758197,0.972656,0.522541,0.499609,732x1280,RGBA,,canvas|bboxH-high,False,False,true failure,True,"canvas,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped mesh bracelet",rerendered-and-approved,False,0.781250,0.911458,0.500000,0.500000,1024x1536,RGBA,,PASS,4f6e968c2a2f63bd20441df9590c226ef93216f37b5f301c125f0c54e32d5e5a
WWNL2.821.4.96.6,0.741211,0.906901,0.499512,0.499674,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.741211,0.906901,0.499512,0.499674,1024x1536,RGBA,,approved,114e9fc67b1e2dd3b41c470e3eebad6ba4a97bf5bcff0bd8e1174666332821ec
WWNR30018152,0.739258,0.907552,0.499512,0.5,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.739258,0.907552,0.499512,0.5,1024x1536,RGBA,,approved,e601affb893ec9bfc7d670745fe5602710ffbaba2311329437e23ef2d6cf1dae
W1366,0.904306,0.933333,0.5,0.5,418x900,RGBA,,canvas|caseW-high,False,False,true failure,True,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside",rerendered-and-approved,False,0.780273,0.911458,0.499512,0.500000,1024x1536,RGBA,,PASS,e5dc97ea3912b3ae171c6b6e644e49780a31841dcac90711bbc451118f9ae9b9
W1433,0.973214,1.0,0.497024,0.5,336x900,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",rerendered-and-approved,False,0.781250,0.911458,0.500000,0.500000,1024x1536,RGBA,,PASS,83339b2107838897ae5a080e726ff9ce281f56a945ff4e1ea8a2d5bc0efb28a9
WL27,0.886165,0.996,0.505254,0.5,571x1000,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",rerendered-and-approved,False,0.779297,0.911458,0.500488,0.500000,1024x1536,RGBA,,PASS,165e9daf838b88d42975bc2b260836a8284df44f7536a18d024a0c9cb7655faa
CRH35405741,0.858398,0.907552,0.499512,0.5,1024x1536,RGBA,,caseW-high,False,True,acceptable variation,False,caseW-high; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.858398,0.907552,0.499512,0.5,1024x1536,RGBA,caseW-high,acceptable variation,537a415eedefeb6a556ce5a7f1c10650f1d158368f761ce6d107e35992368ae2
WWNH24655331,0.347656,0.907552,0.5,0.5,1024x1536,RGBA,,caseW-low,False,False,true failure,True,caseW-low; FAIL_CONTENT: case is not dead-on; visible three-quarter perspective; human full-resolution review: severe zoom-out with full unrolled strap and buckle visible,rerendered-and-approved,False,0.779297,0.911458,0.500000,0.500000,1024x1536,RGBA,,PASS,dad8b54e5a610c9561db0ee9e6e0b2129784aeb43bcf3dd832d1af9f88c70073
