sku,human_classification,caseW,bboxH,cxRatio,cyRatio,canvas,color_mode,extra_chunks,metric_warnings,notes
WWN01 400 7772 4054-07 5 20 82,true failure,0.319336,0.909505,0.500488,0.500977,1024x1536,RGBA,,caseW-low,caseW-low; PASS_CONTENT from 544-watch individual black-background review; human full-resolution review: severely zoomed-out full-strap presentation
W235,true failure,0.987741,0.99,0.499124,0.501,571x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: visible strap holes and strong perspective"
W261,true failure,0.803853,0.987,0.503503,0.5015,571x1000,RGBA,,canvas|bboxH-high,"canvas,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: upper bracelet and cutout appear visibly damaged"
W299,true failure,0.844133,0.993,0.490368,0.4995,571x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1269,true failure,0.984526,0.984444,0.5,0.501111,517x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W259,true failure,0.933333,1.0,0.498333,0.5,600x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: upper bracelet and cutout appear visibly damaged"
WW684,true failure,0.912811,0.933,0.49911,0.5005,562x1000,RGBA,,canvas|caseW-high,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
W297,true failure,0.833625,0.985,0.495622,0.5015,571x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW746,true failure,0.975482,1.0,0.49387,0.5,571x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
W277,true failure,0.84063,0.989,0.50613,0.5005,571x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1528,true failure,0.98008,1.0,0.5,0.5,502x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
W1485,true failure,0.725586,0.951823,0.506348,0.491536,1024x1536,RGBA,,caseW-low|bboxH-high,"caseW-low,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: exposed NATO keeper hardware"
WWNWAY208D.FC8221,true failure,0.767578,0.907552,0.5,0.5,1024x1536,RGBA,,,FAIL_CONTENT: exposed NATO keeper and buckle hardware does not match the approved presentation; human full-resolution review: full NATO strap hardware visible
W1529,true failure,0.984762,0.982222,0.499048,0.5,525x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
WW812,true failure,0.981132,0.99,0.5,0.502,530x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WL55,true failure,0.798571,1.0,0.490714,0.5,700x1000,RGBA,,canvas|bboxH-high,"canvas,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet and possible cutout damage"
WL40,true failure,0.852857,1.0,0.501429,0.5,700x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: upper bracelet and cutout appear visibly damaged"
WW745,true failure,0.985714,0.994,0.5,0.503,560x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW572,true failure,0.984472,1.0,0.5,0.5,644x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: upper bracelet appears clipped or damaged"
WL46,true failure,0.754286,0.934,0.5,0.5,700x1000,RGBA,,canvas,canvas; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: exposed NATO keeper and loose-tail hardware
WL53,true failure,0.855714,1.0,0.507857,0.5,700x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WL56,true failure,0.805714,1.0,0.481429,0.5,700x1000,RGBA,,canvas|bboxH-high,"canvas,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WL38,true failure,0.949384,0.985938,0.50342,0.501563,731x1280,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1295,true failure,0.977465,1.0,0.498592,0.5,355x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
CR801313BUCBUICO,true failure,0.263672,0.907552,0.5,0.5,1024x1536,RGBA,,caseW-low,caseW-low; PASS_CONTENT from 544-watch individual black-background review; human full-resolution review: severely zoomed-out full-strap presentation
WL54,true failure,0.844286,1.0,0.495,0.5,700x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped NATO strap"
WW626,true failure,0.867572,0.934,0.5,0.5,589x1000,RGBA,,canvas|caseW-high,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with full looped bracelet"
W1266,true failure,0.969444,1.0,0.501389,0.5,360x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
W1265,true failure,0.976945,1.0,0.5,0.5,347x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
WW877,true failure,0.982759,0.989091,0.500958,0.499091,522x1100,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WL60,true failure,0.991243,0.976,0.499124,0.498,571x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped NATO strap"
WL58,true failure,0.83,1.0,0.497143,0.5,700x1000,RGBA,,canvas|bboxH-high,"canvas,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
W298,true failure,0.871429,1.0,0.496429,0.5,700x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: upper bracelet and cutout appear visibly damaged"
WWN01 400 7763 4135-07 8 24 09PEB,true failure,0.410156,0.909505,0.5,0.499023,1024x1536,RGBA,,caseW-low,caseW-low; PASS_CONTENT from 544-watch individual black-background review; human full-resolution review: severely zoomed-out full-bracelet presentation
WL76,true failure,0.837432,0.996094,0.499317,0.501953,732x1280,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1326,true failure,0.981865,0.661111,0.501295,0.338333,386x900,RGBA,,canvas|caseW-high|bboxH-low|case-centre-y,"canvas,caseW-high,bboxH-low,case-centre-y; FAIL_CONTENT: incomplete bracelet; lower bracelet is missing; human full-resolution review: incomplete product image; lower bracelet missing"
CRH77616533,true failure,0.84668,0.897135,0.5,0.5,1024x1536,RGBA,,caseW-high,caseW-high; PASS_CONTENT from 544-watch individual black-background review; human full-resolution review: large exposed strap rivets
WWNL3.374.4.40.2,true failure,0.711914,0.907552,0.5,0.5,1024x1536,RGBA,,caseW-low,caseW-low; PASS_CONTENT from 544-watch individual black-background review; human full-resolution review: exposed NATO keeper hardware
WL70,true failure,0.789842,0.988,0.512259,0.5,571x1000,RGBA,,canvas|bboxH-high,"canvas,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WWNL2.828.4.53.2,true failure,0.285156,0.906901,0.5,0.499674,1024x1536,RGBA,,caseW-low,caseW-low; PASS_CONTENT from 544-watch individual black-background review; human full-resolution review: severely zoomed-out full-strap presentation
W1426,true failure,0.976471,1.0,0.5,0.5,340x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1348,true failure,0.97619,0.982222,0.5,0.5,252x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WL72,true failure,0.768827,0.994,0.521016,0.5,571x1000,RGBA,,canvas|bboxH-high,"canvas,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
WWN01 751 7761 4187-SET,true failure,0.804688,0.906901,0.5,0.499674,1024x1536,RGBA,,,FAIL_CONTENT: exposed NATO keeper hardware does not match the approved presentation; human full-resolution review: full NATO strap hardware visible
WW672,true failure,0.98574,0.994,0.5,0.503,561x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1396,true failure,0.970315,0.983333,0.5,0.500556,539x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
WW483,true failure,0.829457,0.933,0.5,0.5005,516x1000,RGBA,,canvas,canvas; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap
WW480,true failure,0.985743,0.985075,0.498982,0.498934,491x938,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
WW650,true failure,0.926692,0.966292,0.527256,0.490296,532x979,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
WL92,true failure,0.933921,0.959375,0.502203,0.501563,908x1280,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WL78,true failure,0.838879,0.981,0.498249,0.5015,571x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W251,true failure,0.955903,0.983594,0.502134,0.498047,703x1280,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
WW976,true failure,0.980831,0.985714,0.499201,0.499451,626x910,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled rubber strap"
WL65,true failure,0.886364,0.983,0.493881,0.5015,572x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
WW556,true failure,0.96355,1.0,0.489699,0.5,631x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: upper bracelet and cutout appear visibly damaged"
WL84,true failure,0.845884,0.977,0.528021,0.5005,571x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped mesh bracelet"
WW312,true failure,0.985938,1.0,0.500781,0.5,640x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled smartwatch strap"
WL71,true failure,0.944286,1.0,0.506429,0.5,700x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled rubber strap"
W1502,true failure,0.98583,0.984444,0.501012,0.501111,494x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
WL77,true failure,0.793434,0.979688,0.4829,0.5,731x1280,RGBA,,canvas|bboxH-high,"canvas,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1468,true failure,0.985401,1.0,0.5,0.5,411x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W20,true failure,0.84668,0.979818,0.469238,0.491862,1024x1536,RGBA,,caseW-high|bboxH-high|case-centre-x,"caseW-high,bboxH-high,case-centre-x; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: large exposed strap rivets"
W1280,true failure,0.964664,0.983333,0.498233,0.500556,283x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
W1312,true failure,0.953125,0.995556,0.5,0.502222,320x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WL31,true failure,0.577933,0.934,0.518389,0.504,571x1000,RGBA,,canvas|caseW-low,"canvas,caseW-low; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
W246,true failure,0.892272,0.938281,0.501756,0.498047,854x1280,RGBA,,canvas|caseW-high,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with full looped leather strap"
W1534,true failure,0.989224,0.986667,0.503233,0.498889,464x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WL50,true failure,0.728546,1.0,0.496497,0.5,571x1000,RGBA,,canvas|caseW-low|bboxH-high,"canvas,caseW-low,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1543,true failure,0.975207,1.0,0.498623,0.5,363x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W239,true failure,0.916553,0.983594,0.499316,0.501953,731x1280,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1294,true failure,0.913725,1.0,0.505882,0.5,510x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strap appears severely distorted"
W1395,true failure,0.983133,1.0,0.501205,0.5,415x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW184,true failure,0.912434,0.934,0.499124,0.5,571x1000,RGBA,,canvas|caseW-high,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
WW488,true failure,0.980676,0.986,0.502415,0.5,414x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1263,true failure,0.983908,1.0,0.498851,0.5,435x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WWNH32506730,true failure,0.785156,0.906901,0.5,0.500326,1024x1536,RGBA,,,FAIL_CONTENT: case is not dead-on; visible three-quarter perspective; human full-resolution review: watch shown around a display cushion/support
WW725,true failure,0.977316,0.812965,0.499055,0.593518,529x941,RGBA,,canvas|caseW-high|bboxH-low|case-centre-y,"canvas,caseW-high,bboxH-low,case-centre-y; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W231,true failure,0.987741,0.979,0.499124,0.5005,571x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with full looped strap"
W1364,true failure,0.943026,1.0,0.481336,0.5,509x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with full looped strap"
W1346,true failure,0.985656,1.0,0.501025,0.5,488x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WL90,true failure,0.891419,0.973,0.5,0.5035,571x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WL80,true failure,0.926129,0.979688,0.501368,0.501563,731x1280,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WL83,true failure,0.758197,0.972656,0.522541,0.499609,732x1280,RGBA,,canvas|bboxH-high,"canvas,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped mesh bracelet"
W1366,true failure,0.904306,0.933333,0.5,0.5,418x900,RGBA,,canvas|caseW-high,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
W1433,true failure,0.973214,1.0,0.497024,0.5,336x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WL27,true failure,0.886165,0.996,0.505254,0.5,571x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WWNH24655331,true failure,0.347656,0.907552,0.5,0.5,1024x1536,RGBA,,caseW-low,caseW-low; FAIL_CONTENT: case is not dead-on; visible three-quarter perspective; human full-resolution review: severe zoom-out with full unrolled strap and buckle visible
WW373,true failure,0.984779,0.986,0.498478,0.501,657x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with full looped strap"
WL87,true failure,0.905594,0.974,0.501748,0.501,572x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: upper bracelet and cutout appear visibly damaged"
WL52,true failure,0.71979,0.993,0.487741,0.4995,571x1000,RGBA,,canvas|caseW-low|bboxH-high,"canvas,caseW-low,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1470,true failure,0.822957,1.0,0.512646,0.5,514x900,RGBA,,canvas|bboxH-high,"canvas,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WL61,true failure,0.816112,0.985,0.511384,0.5045,571x1000,RGBA,,canvas|bboxH-high,"canvas,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet and possible cutout damage"
W1311,true failure,0.967273,1.0,0.498182,0.5,275x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1459,true failure,0.969231,0.988889,0.501538,0.502222,325x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1372,true failure,0.966767,1.0,0.496979,0.5,331x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strap and cutout appear visibly damaged"
W1329,true failure,0.932692,0.985556,0.5,0.500556,312x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
W1339,true failure,0.97619,1.0,0.498299,0.5,294x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1539,true failure,0.888889,1.0,0.499025,0.5,513x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
W1349,true failure,0.983015,0.796667,0.502123,0.601667,471x900,RGBA,,canvas|caseW-high|bboxH-low|case-centre-y,"canvas,caseW-high,bboxH-low,case-centre-y; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: head-only or incomplete bracelet presentation"
W1301,true failure,0.974771,0.981111,0.498853,0.498333,436x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW557,true failure,0.984102,1.0,0.49841,0.5,629x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: bracelet and cutout appear visibly damaged"
WL64,true failure,0.882662,1.0,0.49387,0.5,571x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped strap and visible underside"
W1350,true failure,0.981132,1.0,0.496855,0.5,477x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with distorted or looped bracelet"
W1380,true failure,0.460039,0.978889,0.460039,0.497222,513x900,RGBA,,canvas|caseW-low|bboxH-high|case-centre-x,"canvas,caseW-low,bboxH-high,case-centre-x; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped strap"
W1325,true failure,0.898113,0.986667,0.498113,0.5,265x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet and visible clasp"
WL51,true failure,0.732049,0.999,0.492119,0.4995,571x1000,RGBA,,canvas|bboxH-high,"canvas,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet and visible clasp"
WW647,true failure,0.902655,0.933,0.5,0.5005,565x1000,RGBA,,canvas|caseW-high,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW588,true failure,0.983359,1.0,0.499244,0.5,661x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: watch is over-cropped at image bounds"
W1277,true failure,0.95189,1.0,0.498282,0.5,291x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped strap"
WWN01 733 7720 4057-07 5 21 02,true failure,0.322266,0.907552,0.499023,0.5,1024x1536,RGBA,,caseW-low,caseW-low; PASS_CONTENT from 544-watch individual black-background review; human full-resolution review: severely zoomed-out full-strap presentation
W1357,true failure,0.980907,0.987778,0.5,0.500556,419x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1327,true failure,0.915521,1.0,0.465619,0.5,509x900,RGBA,,canvas|caseW-high|bboxH-high|case-centre-x,"canvas,caseW-high,bboxH-high,case-centre-x; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1514,true failure,0.966777,1.0,0.5,0.5,301x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1328,true failure,0.982578,1.0,0.5,0.5,574x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curved strap"
WWN01 733 7770 4150-SET,true failure,0.396484,0.909505,0.5,0.500977,1024x1536,RGBA,,caseW-low,caseW-low; PASS_CONTENT from 544-watch individual black-background review; human full-resolution review: incomplete or disconnected bracelet presentation
WWN01 733 7732 4135-07 5 21 10FC,true failure,0.791016,0.907552,0.499512,0.5,1024x1536,RGBA,,,FAIL_CONTENT: case is not dead-on; visible three-quarter perspective; human full-resolution review: strong three-quarter perspective
WWN01 733 7732 4157-07 5 21 10FC,true failure,0.800781,0.907552,0.499023,0.5,1024x1536,RGBA,,,FAIL_CONTENT: case is not dead-on; visible three-quarter perspective; human full-resolution review: strong three-quarter perspective
W1276,true failure,0.957746,0.982222,0.501761,0.5,284x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped strap"
WWN01 733 7707 4357-07 5 20 45,true failure,0.333984,0.906901,0.5,0.500326,1024x1536,RGBA,,caseW-low,caseW-low; PASS_CONTENT from 544-watch individual black-background review; human full-resolution review: severely zoomed-out full-strap presentation
WL23,true failure,0.401051,0.966,0.503503,0.499,571x1000,RGBA,,canvas|caseW-low|bboxH-high,"canvas,caseW-low,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped strap"
W243,true failure,0.822857,0.993,0.500714,0.4965,700x1000,RGBA,,canvas|bboxH-high,"canvas,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped strap and visible underside"
W2281,true failure,0.891419,0.94,0.5,0.5,571x1000,RGBA,,canvas|caseW-high,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W248,true failure,0.97373,0.954,0.495622,0.499,571x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped strap and visible underside"
