SKU,Brand,Model_Reference,MarketValue,Pack,Issue,CurrentImageURL_reference
W2131,TAG Heuer,TAG HEUER Aquaracer 300M Automatic 43MM Men's Watch WBP201A.BA0632,4100.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2131.png
W2132,TAG Heuer,TAG HEUER Aquaracer 32MM MOP Diamond Dial Women's Watch WBD1322.BB,4286.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2132.png
W2133,TAG Heuer,TAG HEUER Carrera 44MM CHRONO AUTO Green Dial Men's Watch CBN2A10.,7186.0,"$250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2133.png
W2141,Rado,RADO Captain Cook Automatic 43MM Black High-Tech Ceramic Men's Wat,4485.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2141.png
W2142,Rado,RADO Centrix Chronograph Quartz 41MM Brown Dial Two-Tone Men's Wat,2854.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2142.png
W2144,Rado,RADO Florence Quartz 38MM Black Diamond Dial Rose Gold Men's Watch,1646.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2144.png
W2146,Rado,RADO Florence Quartz 38MM Green Diamond Dial Men's Watch R48912773,1658.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2146.png
W2147,Rado,RADO Florence Quartz 38MM Black 12 Diamond Dial Two-Tone Men's Wat,1672.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2147.png
W2149,Rado,RADO Florence Automatic SS 39MM White Dial Men's Watch R48904013,1972.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2149.png
W215,Hamilton,HAMILTON Jazzmaster Performer AutoChrono 42MM Anthracite Dial Leat,2803.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W215.png
W2152,Rado,RADO Florence Quartz 30MM Brown Dial 4 Diamond Rose Gold Women's W,1646.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2152.png
W2153,Rado,RADO Captain Cook Over-Pole Limited Edition 39MM Handwinding Unise,3426.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2153.png
W2154,Rado,RADO HyperChrome Quartz 41.5MM Brown Dial Rubber Men's Watch R3228,1689.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2154.png
W2155,Rado,RADO True Round Quartz 40MM 12 Diamond Black Dial Men's Watch R270,2756.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2155.png
W2158,Rado,RADO Centrix Quartz SS 30.5MM 3 Diamond Two-Tone Women's Watch R30,2231.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2158.png
W2159,Rado,RADO Centrix Quartz SS 35MM 3 Diamond Two-Tone Women's Watch R3003,2288.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2159.png
W216,Hamilton,HAMILTON Jazzmaster Open Heart Automatic 42MM Blue Dial Leather Me,1463.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W216.png
W2160,Rado,RADO Florence Quartz SS 30MM 3 Diamond Black Dial Women's Watch R4,1568.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2160.png
W2161,Rado,RADO Florence Quartz 30MM 3 Diamond Black Dial Two-Tone Women's Wa,1512.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2161.png
W2162,Rado,RADO Florence Quartz 38MM 3 Diamond Black Dial Two-Tone Unisex Wat,1512.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2162.png
W2163,Rado,RADO True Square Automatic Open Heart 38MM Black Men's Watch R2708,3068.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2163.png
W2165,Rado,RADO Florence Automatic 39MM Blue Dial Leather Unisex Watch R48905,1924.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2165.png
W2166,Rado,RADO Captain Cook 43MM High-Tech Ceramic X England Cricket Limited,5408.0,"$250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2166.png
W2167,Rado,RADO Florence Quartz 38MM Gold With Diamonds Unisex Watch R4891471,1710.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2167.png
W2168,Rado,RADO Florence Quartz 38MM Stainless Steel Unisex Watch R48912163,1315.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2168.png
W2172,Rado,RADO Captain Cook Automatic 42MM Green Dial Two-Tone Men's Watch R,2788.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2172.png
W2173,Rado,RADO Captain Cook Automatic 42MM Black Dial Two-Tone Men's Watch R,2967.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2173.png
W2174,Rado,RADO Centric Automatic Diamonds 35MM Unisex Watch R30037742,3042.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2174.png
W2175,Rado,RADO Centric Automatic 35MM 12 Diamond Unisex Watch R30032742,3042.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2175.png
W2176,Rado,RADO Centric Automatic 39.5MM 4 Diamond Unisex Watch R30018712,2707.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2176.png
W2177,Rado,RADO Captain Cook Auto 42MM Red Gradient Dial SS Men's Watch R3210,2687.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2177.png
W2178,Rado,RADO Captain Cook AUTO 43MM High-Tech Ceramic/Titanium Men's Watch,5175.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2178.png
W2179,Rado,RADO Sintra Jubile 30.5MM MOP Dial Diamond Bezel Ceramic Women's W,3509.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2179.png
W2181,Rado,RADO Sintra Jubile Quartz Pink MOP Dial Diamond Women's Watch R135,4350.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2181.png
W2182,Rado,RADO The Original Auto 35mm Diamond Dial Gold Unisex Watch R124134,1568.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2182.png
W2185,Movado,MOVADO Bold Evolution 2.0 Chronograph 42MM Brown Dial Men's Watch ,1113.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2185.png
W2186,Movado,MOVADO Bold Evolution 2.0 Quartz 34MM Gold Dial Women's Watch 3601,889.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2186.png
W2189,Movado,MOVADO Bold TR90 Chronograph 43.5MM Black Dial Silicone Men's Watc,889.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2189.png
W2193,Movado,MOVADO Series 800 Chronograph 42MM Black Dial Two-Tone Men's Watch,1607.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2193.png
W2195,Movado,MOVADO Series 800 Automatic SS 40MM Blue Dial Men's Watch 2600197,1848.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2195.png
W2199,Movado,MOVADO Heritage Calendoplan S Chronograph SS 42MM Black Dial Men's,1414.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2199.png
W22,Hamilton,HAMILTON Khaki Field King Day-Date Automatic 40MM Green Dial Leath,1001.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W22.png
W2203,Movado,MOVADO Bold Evolution 38MM S-Steel Blue Dial Women's Watch 3600790,1015.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2203.png
W2205,Movado,MOVADO BOLD Evolution 42MM SS Black Ionic Plated Men's Watch 36007,989.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2205.png
W2206,Movado,MOVADO BOLD Evolution 34MM BLK Frosted-Textured Dial Women's Watch,986.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2206.png
W221,Hamilton,HAMILTON PSR Digital Quartz Gold Steel Women's Watch H52314130,979.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W221.png
W2211,Movado,MOVADO Museum Quartz S-Steel Valor Mirror Dial Women's Watch 06047,1316.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2211.png
W2212,Movado,MOVADO Museum Quartz Stainless Steel Black Dial Women's Watch 99.C,1190.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2212.png
W2216,Movado,MOVADO SS MOP Dial Diamond Bezel Women's Watch 0605906,2011.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2216.png
W2217,Movado,MOVADO S-Steel White MOP Dial Diamond Bezel Unisex Watch 0605429,1811.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2217.png
W2218,Movado,MOVADO Stainless Steel MOP Dial Diamond Bezel Women's Watch 84.A1.,1616.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2218.png
W2221,Movado,MOVADO Sports Edition Stainless Steel Blue Dial Women's Watch 0604,1638.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2221.png
W2225,Movado,MOVADO Sport Edition Stainless Steel BLK Dial Women's Watch 84-G4-,1755.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2225.png
W2228,Movado,MOVADO Bold Evolution 42MM CHRONO SS Yellow-Gold Men's Watch 36006,905.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2228.png
W2230,Movado,MOVADO Sport Edition 26MM SS Blue Museum Dial Women's Watch 060483,853.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2230.png
W2233,Movado,MOVADO Museum 25MM Quartz S-Steel Black Dial Women's Watch 84-G4-8,989.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2233.png
W2234,Movado,MOVADO Gentry Sport 28MM QTZ Black Dial DIA Bezel Women's Watch 06,858.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2234.png
W2238,Movado,MOVADO Quartz S-Steel White Rectangular Dial Women's Watch 0605561,1119.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2238.png
W2239,Movado,MOVADO Strato 26MM Black Dial Diamond Bezel Women's Watch 0605611,1856.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2239.png
W2242,Seiko,SEIKO Prospex Alpinist Automatic SS 38MM Blue Dial Men's Watch SPB,1050.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2242.png
W2243,Seiko,SEIKO Prospex Alpinist Stainless Steel 39.5MM Black Dial Men's Wat,1050.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2243.png
W2244,Seiko,SEIKO Alarm Chronograph Tachymeter 42MM Men's Watch SNA163,593.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2244.png
W2248,Seiko,SEIKO 26MM White Dial Two-tone SS Women's Watch SXDC21P1,472.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2248.png
W2249,Seiko,SEIKO 27MM White MOP Dial SS Women's Watch SXDE22,622.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2249.png
W2251,Seiko,Seiko White Dial Two-tone S-Steel Men's Watch SGE778P1,397.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2251.png
W2252,Seiko,Seiko Coutura Silver Dial Stainless Steel Women's Watch SUJE83,397.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2252.png
W2253,Seiko,Seiko VIVACE White Dial 24MM Two-tone Women's Watch SUJ279,452.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2253.png
W2254,Seiko,Seiko White Dial Gold-tone Stainless Steel Women's Watch SXDB48,478.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2254.png
W2255,Seiko,Seiko White Dial Two-tone SS Women's Watch SUJD34,478.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2255.png
W2256,Seiko,Seiko Coutura 28MM Black MOP Dial S-Steel Bracelet Women's Watch S,536.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2256.png
W2257,Seiko,Seiko Le Grand Sport 25MM MOP Dial S-Steel Bracelet Women's Watch ,581.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2257.png
W2258,Seiko,Seiko 25MM Black Dial S-Steel Bracelet Women's Watch SXDA44,620.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2258.png
W2259,Seiko,Seiko 21MM Black Dial S-Steel Bracelet Women's Watch SXGN15,624.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2259.png
W226,Hamilton,HAMILTON Ventura XXL Bright Dune Limited Edition Men's Watch H2461,2217.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors) + WATERMARK (needs clean),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W226.png
W2260,Seiko,Seiko Le Grand Sport 27MM MOP Dial S-Steel Women's Watch SXDE83,624.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2260.png
W2261,Seiko,Seiko Black Dial Silver Stainless Steel Women's Watch SUJE25,628.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2261.png
W2262,Seiko,Seiko Vivace MOP Dial Silver SS Women's Watch SUJ281,628.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2262.png
W2263,Seiko,Seiko Chronograph Stainless Steel Black Dial Men's Watch SNAD35,536.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2263.png
W2264,Seiko,Seiko Chronograph White Dial Stainless Steel Women's Watch SNDZ25,536.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2264.png
W2265,Seiko,Seiko Black Dial Silver-tone SS Women's Watch SUJE79,628.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2265.png
W2266,Seiko,Seiko Coutura Collection MOP Dial S-Steel Bracelet Women's Watch S,588.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2266.png
W2267,Seiko,Seiko Silver Dial Stainless Steel Women's Watch SUJF09,589.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2267.png
W2268,Seiko,Seiko Black Dial Two-tone SS Women's Watch SUJF10,625.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2268.png
W2269,Seiko,SEIKO Black Dial Stainless Steel 34MM Men's Watch SKP319,636.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2269.png
WW902,Movado,Movado Elliptica Quartz Ss 20MM Mother Of Pearl Dial Women's,1950.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/WW902.png
CRBJ2120-07E,Citizen,Citizen Promaster Eco-Drive Aqualand Diver BJ2120-07E BJ2120-07 BJ,638.0,"$50, $125, $250, $500, $1000",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRBJ2120-07E.png
CRBJ7010-59E,Citizen,Citizen Promaster Eco Drive NightHawk BJ7010-59E/BJ7000-52E Men's ,435.0,"$50, $125, $250, $500, $1000",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRBJ7010-59E.png
CRBN0156-56E,Citizen,Citizen Promaster Eco-Drive Diver's 200M BN0156-56E Men's Watch,719.0,"$50, $125, $250, $500, $1000",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRBN0156-56E.png
CRFAA02004B9,Orient,Orient Ray II Automatic 200M FAA02004B9 Men's Watch,447.0,"$50, $125, $250, $500, $1000",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRFAA02004B9.png
CRFAA02006M9,Orient,Orient Ray Raven II Automatic 200M FAA02006M9 Men's Watch,399.0,"$50, $125, $250, $500",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRFAA02006M9.png
CRFAA02007B9,Orient,Orient Ray II FAA02007B9 Automatic 200M Men's Watch,397.0,"$50, $125, $250, $500",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRFAA02007B9.png
CRFAA02008D9,Orient,Orient Ray II FAA02008D9 Automatic 200M Men's Watch,418.0,"$50, $125, $250, $500, $1000",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRFAA02008D9.png
CRFAA02009D9,Orient,Orient Mako II Automatic 200M FAA02009D9 Men's Watch,430.0,"$50, $125, $250, $500, $1000",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRFAA02009D9.png
CRFAB0000DK9,Orient,Orient 3 Star Crystal Automatic FAB0000DK9 Men's Watch,127.0,"$50, $125, $250",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRFAB0000DK9.png
CRFAB0000EB,Orient,Orient 3 Star Automatic FAB0000EB Analog Men's Watch,131.0,"$50, $125, $250",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRFAB0000EB.png
CRFAC08001T0,Orient,Orient Bambino Version 4 Classic Automatic FAC08001T0 AC08001T Men,384.0,"$50, $125, $250, $500",ANGLED-P2 (one auditor) + WATERMARK (needs clean),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRFAC08001T0.png
CRFAC09004D0,Orient,Orient Nami Mako Automatic 200M FAC09004D0 Men's Watch,368.0,"$50, $125, $250, $500",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRFAC09004D0.png
CRH64451823,Hamilton,Hamilton Khaki King H64451823 Men's Watch,554.0,"$50, $125, $250, $500, $1000",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRH64451823.png
CRJP1010-00L,Citizen,Citizen Aqualand Diver JP1010-00L Watch,527.0,"$50, $125, $250, $500, $1000",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRJP1010-00L.png
CRJP1060-01W,Citizen,Citizen Promaster JP1060-01W Diver 200M Chronograph Men's Watch,483.0,"$50, $125, $250, $500, $1000",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRJP1060-01W.png
CRJP1095-15X,Citizen,Citizen Aqualand Promaster Diver's 200M Analog Digital JP1095-15X ,359.0,"$50, $125, $250, $500",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRJP1095-15X.png
CRJP2000-67L,Citizen,Citizen Promaster Aqualand Stainless Steel Blue Dial Quartz Diver',590.0,"$50, $125, $250, $500, $1000",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRJP2000-67L.png
CRJP2007-17W,Citizen,Citizen Promaster Aqualand luminous dial quartz 200m watch,515.0,"$50, $125, $250, $500, $1000",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRJP2007-17W.png
CRJW0124-53E,Citizen,Citizen Promaster Eco-Drive JW0124-53E Chronograph 200M Men's Watc,500.0,"$50, $125, $250, $500, $1000",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRJW0124-53E.png
CRJW0125-00E,Citizen,Citizen Promaster Eco-Drive JW0125-00E Chronograph 200M Men's Watc,491.0,"$50, $125, $250, $500, $1000",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRJW0125-00E.png
CRJW0149-10L,Citizen,Citizen Promaster Land Eco-Drive JW0149-10L 200M Diver's Men's Wat,559.0,"$50, $125, $250, $500, $1000",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRJW0149-10L.png
CRJZ1061-57E,Citizen,Citizen Promaster Eco-Drive Chronograph Analog-Digital JZ1061-57E ,504.0,"$50, $125, $250, $500, $1000",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRJZ1061-57E.png
CRNJ0125-11E,Citizen,Citizen Promaster Marine Black Dial Automatic NJ0125-11E 100M Men',386.0,"$50, $125, $250, $500",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRNJ0125-11E.png
CRNJ0129-87X,Citizen,Citizen Promaster Marine Green Dial Automatic NJ0129-87X 100M Men',344.0,"$50, $125, $250, $500",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRNJ0129-87X.png
CRNY0070-83E,Citizen,Citizen Promaster Marine Scuba Diver 200M Automatic NY0070-83E Men,539.0,"$50, $125, $250, $500, $1000",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRNY0070-83E.png
CRNY0084-89E,Citizen,Citizen Promaster Black Dial Stainless Steel Automatic Diver's NY0,447.0,"$50, $125, $250, $500, $1000",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRNY0084-89E.png
CRNY0098-84E,Citizen,Citizen Promaster Fugu Marine Limited Edition Diver's Automatic NY,494.0,"$50, $125, $250, $500, $1000",ANGLED-P2 (one auditor),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRNY0098-84E.png
